NOM PDV,ADRESSE PDV,LOCALISATION
alimentation Baraye,parcelle unité 16,"17°26'33.50""W  14°45'41.98""N"
chez marius,parcelle unité 16,"17°26'33.70""W  14°45'49.02""N"
Alimzntation Carrefour,meme ruelle chez bechale,"17°26'54.60""W  14°45'42.10""N"
Chez Dani,meme ruelle chez bechale,"17°26'55.21""W  14°45'42.02""N"
Elisabeth Diouf,grand medine côté  pont diamalaye,"17°26'59.53""W  14°45'41.16""N"
Joachin Nico Preira,parcelle unité 24,"17°26'48.79""W  14°45'15.73""N"
michelle preirra,parcelle unité 25,"17°26'53.54""W  14°45'11.22""N"
Pierre Mendy,parcelle unité 24,"17°26'48.95""W  14°45'12.89""N"
Apolinaire Gregoire Mendy,parcelle unité 22,"17°26'35.18""W  14°45'8.56""N"
BAR PORTE BLEU,yeumbeul,"17°21'3.48""W  14°46'30.82""N"
Dépot Chez Auguste,comico,"17°20'20.68""W  14°46'40.04""N"
BAR CHEZ HUBERT,Amdalaye comico,"17°20'12.40""W  14°46'31.32""N"
CHEZ WILSON,Comico yeumbeul,"17°20'36.72""W  14°46'9.82""N"
CHEZ MALOU,arret clando comico,"17°20'41.80""W  14°46'15.02""N"
BAR LÉHARIEN,face Pharmacie boune,"17°20'48.55""W  14°46'3.26""N"
BAR THIOLEUM,route de boune poste courant,"17°21'3.12""W  14°46'9.62""N"
JEAN GOMIS,assecna,"17°21'36.48""W  14°46'38.07""N"
VICTOR GOMIS,yeumbeul assecna,"17°21'39.98""W  14°46'42.16""N"
ALIMENTION CHEZ ANDRÉ,wakinane nimzatt,"17°22'25.18""W  14°46'40.32""N"
BAR CHEZ JOE,Guédiawaye bassin matché bou bess,"17°22'7.46""W  14°46'42.05""N"
DÉPOT JEAN PAUL,Pikine Taly boumague,"17°23'24.47""W  14°45'54.22""N"
BAF SAFF BAR,pikine prèt du tribunal,"17°23'38.29""W  14°45'56.88""N"
BAR CHEZ PREIRA,face lobou mame diarra,"17°20'38.32""W  14°44'59.82""N"
Passophie,guinaw rail,"17°22'51.82""W  14°45'12.99""N"
BAR LOUIS GOMIS,guinaw rail,"17°22'56.69""W  14°45'6.81""N"
Chez MÈRE ARAS,guinaw rail,"17°23'16.51""W  14°45'7.11""N"
